workflow_id,start_time,end_time,execution_time_seconds,prompt_tokens,completion_tokens
827a120d-79e2-4518-a073-b5e1090031a2,2025-04-04T14:46:29.54996+00:00,2025-04-04T14:46:51.855478+00:00,18.8865230083466,6559,751
c4ca733b-561b-49b4-8aff-62821044478d,2025-04-04T14:52:30.980772+00:00,2025-04-04T14:52:44.830174+00:00,11.3329701423645,4714,330
e83eb70e-4871-40cc-89c8-2f37af48ed18,2025-04-04T15:01:14.75407+00:00,2025-04-04T15:01:29.972067+00:00,13.666051864624,4777,394
dfa735b1-6139-41da-a55c-0fe0e2e0f62f,2025-04-04T15:14:18.4048+00:00,2025-04-04T15:14:31.29253+00:00,11.151478767395,4717,332
bf16b072-e96e-4fba-a920-7c59d6c898b4,2025-04-04T18:17:44.064131+00:00,2025-04-04T18:17:58.971224+00:00,12.1981570720673,4721,336
730cee22-1334-48d1-8d1b-e42f213cf070,2025-04-04T18:48:10.051385+00:00,2025-04-04T18:48:24.108163+00:00,12.2227549552917,4717,334
275e3794-aa3e-4d4f-a875-fc955de2b9aa,2025-04-04T18:48:06.858019+00:00,2025-04-04T18:48:27.566564+00:00,17.1318459510803,6572,558
6dd81555-eff4-4dc2-aa08-ed0fbd161d44,2025-04-04T18:52:24.140633+00:00,2025-04-04T18:52:36.448031+00:00,10.5507159233093,4706,322
0e656b65-f623-457c-8bb2-4f445f4ff3e7,2025-04-04T18:52:20.782148+00:00,2025-04-04T18:52:44.308031+00:00,19.8921909332275,6532,545
8c54f2e0-2e45-4825-94ea-daaa74ede332,2025-04-04T18:54:58.935532+00:00,2025-04-04T18:55:20.650187+00:00,19.9750320911407,6447,491
5a335a0d-491a-4d53-9077-3ea6055b5ed9,2025-04-04T18:55:01.669397+00:00,2025-04-04T18:55:21.71159+00:00,18.5788249969482,6548,555
d695a62e-5135-4291-9fbc-dead25d73bb5,2025-04-04T18:55:00.383642+00:00,2025-04-04T18:55:22.774408+00:00,20.7661330699921,6505,522
62cf1157-82eb-4049-9a4f-4b41a3168ae4,2025-04-04T18:55:04.092779+00:00,2025-04-04T18:55:23.877784+00:00,18.3040978908539,6568,567
3b7b047c-e552-4407-be04-65707f6f398f,2025-04-04T18:55:02.838639+00:00,2025-04-04T18:55:24.966724+00:00,20.6213438510895,6533,542
832914b5-4b2d-4924-9c65-6f66484a930d,2025-04-04T18:55:06.50914+00:00,2025-04-04T18:55:30.267323+00:00,22.2802040576935,4710,328
d458f888-acad-4257-9827-633df297ec2c,2025-04-04T18:55:08.72395+00:00,2025-04-04T18:55:33.830931+00:00,23.7777080535889,4780,396
60d3bfbe-8d5a-42a8-aa97-129c8f5304fc,2025-04-04T18:55:05.221998+00:00,2025-04-04T18:55:34.818379+00:00,28.042044878006,4712,328
996b5e22-acac-4809-9523-e0c7db04380c,2025-04-04T18:55:07.634134+00:00,2025-04-04T18:55:35.775553+00:00,26.7747230529785,4802,416
8c037ab1-5efc-45ac-8214-e506c7810867,2025-04-04T18:55:09.765055+00:00,2025-04-04T18:55:36.813565+00:00,25.6159689426422,4831,453
2af8d58a-2277-4a97-8fcf-e8e879a77bc1,2025-04-04T18:56:32.328232+00:00,2025-04-04T18:56:45.194206+00:00,11.3450608253479,4709,328
95dfd143-520a-4ac8-9c66-1f5ff108ae3d,2025-04-07T09:10:07.7898+00:00,2025-04-07T09:10:29.216538+00:00,17.3184900283813,4800,431
496f3017-a836-4ee1-bf6f-81d903e73398,2025-04-07T09:37:24.366571+00:00,2025-04-07T09:37:40.365228+00:00,14.0952460765839,4714,330
b00e8904-c23f-4a5c-808c-efaf9691ff75,2025-04-07T10:07:27.945739+00:00,2025-04-07T10:07:45.430417+00:00,8.47171568870544,1206,279
df6ff2db-e1dc-481b-851b-0a1a863ddfce,2025-04-07T10:10:25.426129+00:00,2025-04-07T10:10:33.635936+00:00,6.34719586372375,1208,283
594869a3-04ac-4e8b-b8d6-96d176ee5c24,2025-04-07T10:12:45.792884+00:00,2025-04-07T10:12:53.396517+00:00,5.84075784683228,1208,283
2b1928ff-5fb9-410b-a0c2-63fc0af26638,2025-04-07T12:14:34.828337+00:00,2025-04-07T12:15:00.321995+00:00,21.6304769515991,6630,553
c55c731b-83cd-4dcd-9a42-f0f3ec5ad688,2025-04-07T16:01:08.667514+00:00,2025-04-07T16:01:33.211024+00:00,19.0706272125244,6474,481
